Date,Sell_Fiat_Amount,Fee_Fiat_Amount,Buy_Fiat_Amount,Tx_Hash,Link,total_paid_claims
01/19/2022,13.2872105375627120472,314.2244355912624,4647.2502924265366083890124,0xebf1be009d2c052702ba336e08c339aea2f861fe562cbbe67da51decee2ba6bb,https://etherscan.io/tx/0xebf1be009d2c052702ba336e08c339aea2f861fe562cbbe67da51decee2ba6bb,327.51164612882513
01/14/2022,19.3557228651556572838,575.4403007322463,7661.598198202998725694242484,0x3e91f3e1ffcdb7e1c4c979360d83ccab555a6de04fd7b29618f6cac2689d1083,https://etherscan.io/tx/0x3e91f3e1ffcdb7e1c4c979360d83ccab555a6de04fd7b29618f6cac2689d1083,594.7960235974019
01/07/2022,19.8483552969308000987,368.7069943912524,6996.2352464289172967687443204,0xe349bd03c9269fff38e25fb3e729391bda6c160e722954562db6078ff5d3233b,https://etherscan.io/tx/0xe349bd03c9269fff38e25fb3e729391bda6c160e722954562db6078ff5d3233b,388.5553496881832
12/12/2021,14.66985971968623136845,315.62060018222087,3022.0915613345464900524195168,0x98a5303518a7001c3edddd576c3c43fbbb472ce129ed3e5a0eb2b217da2b71d3,https://etherscan.io/tx/0x98a5303518a7001c3edddd576c3c43fbbb472ce129ed3e5a0eb2b217da2b71d3,330.2904599019071
12/08/2021,18.32037339230888568935,382.8000671730652,3766.3854125787915774708765069,0x2c1dde5ae471ea5663e6cc1e4bef25445ad41d923acac69ae917c3f70c83bf62,https://etherscan.io/tx/0x2c1dde5ae471ea5663e6cc1e4bef25445ad41d923acac69ae917c3f70c83bf62,401.1204405653741
12/03/2021,18.82466658800086765494,582.3055083146476,3839.1626027891954909910073632,0x70b66e9294acba591bb0b04e37f6e85cc5d0095d9c2ce1b3dadb88da3d50f2d9,https://etherscan.io/tx/0x70b66e9294acba591bb0b04e37f6e85cc5d0095d9c2ce1b3dadb88da3d50f2d9,601.1301749026484
11/28/2021,17.1253495212718424199,421.14956471798473,3664.0865818205722827160546868,0x39f2f697555976d1feb2125660f0fda56ff90a242d0a235bb3b049d70d2902f1,https://etherscan.io/tx/0x39f2f697555976d1feb2125660f0fda56ff90a242d0a235bb3b049d70d2902f1,438.2749142392566
11/23/2021,35.71690402748160165368,460.22445974074367,8975.6788510524844783411377412,0x1d7b5fc9cad017b4d2b9d4d48b702c2141024eb8558fd06b6210cbb136937799,https://etherscan.io/tx/0x1d7b5fc9cad017b4d2b9d4d48b702c2141024eb8558fd06b6210cbb136937799,495.9413637682253
11/13/2021,31.22509021559309653128,706.5739038056197,9076.3593831410356135704714432,0x6f3a0e9b57a0924a4b9d69e794496356ef1202df1c8657aeef59ec709c22a24b,https://etherscan.io/tx/0x6f3a0e9b57a0924a4b9d69e794496356ef1202df1c8657aeef59ec709c22a24b,737.7989940212128
11/05/2021,49.48558056633264849606,739.2821505899756,16043.584964186362501222085824,0x0df788bb02bb3f0fdde307393408d19d28e27dbd5a202be9cd6f661658ea9943,https://etherscan.io/tx/0x0df788bb02bb3f0fdde307393408d19d28e27dbd5a202be9cd6f661658ea9943,788.7677311563082
10/23/2021,91.23113265078384134136,265.9267943567087,37402.3170979735044403232856,0x98668e9c599b3c2ecff7a12f8b1e6125f508befa4720caf360d84c09bca97f63,https://etherscan.io/tx/0x98668e9c599b3c2ecff7a12f8b1e6125f508befa4720caf360d84c09bca97f63,357.1579270074925
09/19/2021,76.996803695653253048,118.23694926735112,21923.14142207828098692496992,0x7cd1af189bc2951e27752f5776d1a1283d59019348cd0a2b37fc25d25e4d4343,https://etherscan.io/tx/0x7cd1af189bc2951e27752f5776d1a1283d59019348cd0a2b37fc25d25e4d4343,195.23375296300438
08/16/2021,36.76447310373150878136,108.45419019526628,5094.01810661861035537507746,0xd55add9ae5c2e8d62aa390da6f8acf091b41298c1d8c0a7f1dae0fdf2d0342a0,https://etherscan.io/tx/0xd55add9ae5c2e8d62aa390da6f8acf091b41298c1d8c0a7f1dae0fdf2d0342a0,145.2186632989978
07/30/2021,22.73049896323502781576,78.10649385552,4168.896574883689903427143308,0xb413fc147a56d3184bab90eda841414ece2c4bf5acfdf7ae6dc9a6f554d138fe,https://etherscan.io/tx/0xb413fc147a56d3184bab90eda841414ece2c4bf5acfdf7ae6dc9a6f554d138fe,100.83699281875502
07/15/2021,9.11703772267707498744,62.37911141568,2349.7236278967198328765797888,0xc363b834a2aa0ff41e19a9b69398a569bf50fc7387f7c7ed4decada3c403ee44,https://etherscan.io/tx/0xc363b834a2aa0ff41e19a9b69398a569bf50fc7387f7c7ed4decada3c403ee44,71.49614913835708
07/08/2021,8.49102178466467418196,54.74000409768,1703.9819948462838789997392702,0xff36a3475625ca536aca06f5ef53dfcbab4703286078cb654fbfd24134504bcf,https://etherscan.io/tx/0xff36a3475625ca536aca06f5ef53dfcbab4703286078cb654fbfd24134504bcf,63.231025882344674
07/02/2021,10.94892287951334449272,22.3279467984,1865.32619808520548088801948,0x3f6b8d0df6512f3b090a1d6ac41bbe255b14dcf4480a6ae6f2ef38177ae79689,https://etherscan.io/tx/0x3f6b8d0df6512f3b090a1d6ac41bbe255b14dcf4480a6ae6f2ef38177ae79689,33.276869677913346
